date,account_key,day_realized_gain
2024-01-02,34,0
2024-01-02,85,0
2024-01-02,93,0
2024-01-02,06,0
2024-01-03,34,0
2024-01-03,85,0
2024-01-03,93,0
2024-01-03,06,0
2024-01-04,34,0
2024-01-04,85,0
2024-01-04,93,0
2024-01-04,06,0
2024-01-05,34,0
2024-01-05,85,0
2024-01-05,93,0
2024-01-05,06,0
2024-01-08,34,0
2024-01-08,85,0
2024-01-08,93,0
2024-01-08,06,0
2024-01-10,34,0
2024-01-10,85,0
2024-01-10,93,0
2024-01-10,06,0
2024-01-12,34,0
2024-01-12,85,0
2024-01-12,93,0
2024-01-12,06,0
2024-01-15,34,0
2024-01-15,85,0
2024-01-15,93,0
2024-01-16,34,4
2024-01-16,85,0
2024-01-16,93,4
2024-01-16,06,0.4
2024-01-17,34,3.6
2024-01-17,85,0
2024-01-17,93,2
2024-01-17,06,0
2024-01-11,85,0
2024-01-11,93,0
2024-01-11,06,0
